,reviews.text,KeyWords
40,"Bought this for my 87 year old grandmother who wanted to be able to play games and read books from the library. My aunt lives with her and can help her use it so its perfect for that type of user. After playing with It, I would consider it for just about anyone other than a hardcore user that wants the latest and greatest tech. if you are tech saavy, you can do more with these Fire tablets than advertised.",more
41,This is exactly what the person wanted as a gift and she enjoys using it.,
42,Does all basic functions of a tablet. Hardcore users may want an iPad.,Hardcore
43,Works great for a simple tablet. Not a huge fan of the silk browser but it could be worse! I am very happy with my purchase!,very happy
44,It's fast and easy to use. This is my second kindle fire .,second
45,More flexibility than a Kindle and bigger screen. Like it because I can surf the web and download and read books.,bigger
46,"For the money you cannot beat this tablet. Full of features, picture quality is great, and very fast speed while using the internet.",very fast
47,"Easy to use, solid build, sharp HP screen for movies. Who needs more?",more
48,Tablet is perfect for beginners who just want basic,basic
49,"this is my first tablet .. love it .. actually read my first e-book on it .. large screen, easy to read & play games .. fits nicely in my purse",easy
50,This 8 inch Fire is definitely better than the cheaper 7 inch. It works fine enough for teens to play games and watch movies.,enough fine
51,"Great tablet for under $100. Does not have the highest specs, but gets the job done for lite tablet users.",lite
52,"I purchased the kindle fire because I needed a entertainment only device for long flights. This device is the perfect size for travel and easy to use and set up with your Amazon account. It is worth purchasing a Fire tablet if you are an Amazon Prime member. If not, I would not recommend it because the available apps are limited . My only complaint about this device is that if it freezes it is difficult to reset.",difficult
53,This fire tablet has long battery life. Reasonable fast,fast Reasonable
54,Got this for my wife and she loves it. She had the previous generation and this one is a giant keep forward.,previous
55,Sleek packaging easy set up and great for anyone who wants a e reader with more to offer.,more
56,Best and most affordable option of all the Kindle devices available.,available
57,"I did not want to get a new kindle but my old one would not charge or show a charge anymore. I could not depend on it for any length of time so I finally broke down and bought a new one. I am very happy with this one. I was afraid I would lose my music and photos since not all came from the Amazon store. However, everything I had on the old kindle transferred to the new one. I am still learning all about it but so far so good.",far so good
58,My daughter likes this tablet to play her online games!,online
59,Easy to figure out and used it extensively on my vacation.,Easy
60,"Excellent tablet to leave at my easel and display reference photos. It's light enough to velcro to a articulating stand (so I can position the tablet right next to my canvas). It's cheap enough to not worry about. I love it, for the price.",enough cheap
61,I bought this wanting for books comics and movies and it has not disappoint ever since,
62,My 4 year old Grandson loves his Kindle. He had to have one after his sister got one.,old
63,Easy to use. As a beginner I found this pad very good. Enjoy the kindle app.,very good
64,This Kindle does what I need it to do. The camera could be better but overall I am pretty happy with my purchase.,pretty happy
65,Purchased this for my daughter to do more reading. It has so much more options for her if she wants.,much more
66,"this is a great tablet for the price. my kid loves it ,does alot reading on it.",great
67,I was really hoping that this would be faster than some other inexspensive tablets I've had. I mainly use it for email though and it does the job.,inexspensive
68,Bought as a Christmas gift for someone. I bought iPad as well. Will update when it's used.,
69,Great tablet for the price. It is easy to navigate.,easy
70,I believe that this will be very useful during my husbands recovery from foot surgery.,very useful
71,This is something that is useful if your looking for something to take along trips,useful
72,This is a wonderful device. I love the extra capabilities and apps.,extra
73,Decent tablet. Access to kindle and pretty much all your google apps.,Decent
74,I am very happy with this tablet. The worst thing is that my steals it all the time. Lol,worst
75,"A family member has vision problems. They had seen/used the Kindle of another family member - especially the ability to scale text. This device will make it possible to read, which she has had extreme difficulty doing.",extreme
76,Easy setup and connect to WIFI. Great viewing area. Easy to read in bright places.,bright
77,I got this fire for my friend who wants to buy kindle..this serves both Kindle and Tab... very nice and very cheap..worth for what i paid.. I highly recommend this for beginners,worth
78,Really enjoyed the price value of this tablet versus ipad,
79,Amazing tablet with fast processor. It looks great... got good deal,good
80,We got this for our 5 year old and this is really great for the price. Works like a charm!!,really great
81,"I find it easy to use, but the kindle does not come with instructions, so you have to find your way around.",easy
82,"I bought this because I was tired of watching Youtube and Twitch on my phone. Excellent display sound is decent-not great but you can always buy a speaker. The negatives are-it is definitely a fingerprint magnet, and the Spectrum TV app is AWFUL-the app works fine on my phone, but for some reason on this tablet it freezes and is unusable. All things considered, for 65 bucks it's hard to be beat.",hard
83,"I love this tablet. The battery life last a long time. I use my Amazon Kindle Fire predominately for watching movies on Amazon Prime, Netflix's, and checking my emails. I also carry it to my appointments and meetings. It is a compact tablet, and not big and bulky. The playback of the movies are great, and the movies are HD. Great little tablet if you are looking for something to watch movies and checking emails. I would definitely recommend this tablet to friends and family members.",little
84,"My daughter loves this kindle, she does so much with it,well worth the money.",well worth
85,Was looking for a tablet that was highly portable & could run my DIRECTTV app & stream videos. (Other electronics I have are much older versions). Salesman recommended this model to me based on personal experience. I am still learning all its functions but so far it seems easy to use & is doing what it promised to do.,easy
86,"This is my second Fire, the other one is now retired. I like having HD. Works just fine.",just fine
87,My wife bought this for me for my birthday. I enjoy reading biographys which usually have color photos. The regular Kindle make the pics black and white or they're aren't any. This allows me to see the color photos. I also love the night feature when I'm in bed reading. I no longer need a light on to read or need to hold a large book.,large
88,"Thanks to a knowledgeable, low-pressure salesperson, I was ready to buy my first tablet. This one was the right price (on sale) and I have not been disappointed. Every few days I learn more ways to use it besides checking e-mails & checking out library books & audio books. It stays charged for days, even with regular use. I recommend it as an inexpensive and very satisfactory alternative to more expensive tablets.",more expensive
89,"It's a great tablet for the price. Don't expect it to be as fast more expensive ones. It's meant for casual use and it does a great job at that. For the price, you can't beat it. Get a nice large microsd card and you don't have to worry about space. It runs a little slow on certain things if you are multitasking but it's a simple tablet. I've run plenty of 720p videos without fail. It's great for ebooks or other files. Some more elaborate pdfs take a while to load if they have a lol of graphics. Battery life seems good for a small table too.The only real Issue I have is the Amazon App store being limited. It is an offshoot of Android but not all the same apps are available. There is a way around it but I wish they would just allow it access to Google Play or at least offer the same apps.So, it's a nice inexpensive table that works great. For the money, you will love it but don't get upset that is doesn't run as fast as a $500 tablet. That's not its job.",upset
90,Bought it for my 10 yr old granddaughter. Does everything she wants it to do in a tablet.,old
91,Very easy to use tablet. Lots of apps and game available.,available
92,"We love the FreeTime settings for kids on the newer Kindle Fires. I was able to create a login for each of our kids as well as myself and set limits to the amount of device time they are allowed daily (can set to more for weekends if desired). You can set the age restrictions for content also, to avoid inappropriate ads, etc. Once you've downloaded apps, you can choose which ones you want each child to have access to in their profile settings, so if one child is older you can allow them access to something their younger siblings shouldn't have. Basically, I like that I can set their access rights and know they're safe so I don't have to continually monitor every moment. By the way, FreeTime kids settings are available without having to subscribe to their FreeTime app access plan. :)",available
93,"Great tablet, very clear picture. Would buy again.",very clear
94,Good reader which is why I bought it. Ads are annoying.,annoying
95,"It's a mini computer packed in a handheld devise. Applications load quickly and I am able to get my work completed, while riding the commuter rail.",able
96,Nice for a smaller tablet. It's good for Internet surfing.,good
97,"Purchased as a door prize gift given with a one year Amazon membership. The recipient loves it and says it performs very well. (As a past Amazon Fire user, now i-Pad graduate, I loved my Amazon Fire for more than 4 years without any problems. In fact, I just recycled it on to my son and it runs like a champ).",more
98,"I have 4 other kinds of tables. This the best I have had. I can listen to music, read a book, listen to a book, or watch movies/tv shows.",best
99,Great product for the kids gaming apps parental controls to make sure you can monitor kids and prevent unwanted app purchases,unwanted
